Institute,Program,Category,Gender,ClosingRank
Indian Institute of Technology Guwahati,Mathematics and Computing (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,532
Indian Institute of Technology Hyderabad,Civil Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,533
Indian Institute of Technology Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),534
Indian Institute of Technology Kanpur,Mechanical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,535
Indian Institute of Technology Roorkee,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,535
Indian Institute of Technology (ISM) Dhanbad,Mathematics and Computing (4 Years Bachelor of Technology),ST,Gender-Neutral,535
Indian Institute of Technology Kharagpur,Mathematics and Computing (4 Years Bachelor of Science),SC,Gender-Neutral,536
Indian Institute of Technology Madras,Aerospace Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),ST,Gender-Neutral,536
Indian Institute of Technology Kharagpur,Mechanical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,538
Indian Institute of Technology Madras,Aerospace Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,540
Indian Institute of Technology Indore,Electrical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,543
Indian Institute of Technology Tirupati,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,545
Indian Institute of Technology Gandhinagar,Integrated Circuit Design & Technology (4 Years Bachelor of Technology),EWS,Gender-Neutral,547
Indian Institute of Technology Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),OBC-NCL,Gender-Neutral,549
Indian Institute of Technology Kharagpur,Electrical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,550
Indian Institute of Technology Delhi,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-only (including Supernumerary),551
Indian Institute of Technology Bhubaneswar,Electronics and Communication Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,553
Indian Institute of Technology Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,553
Indian Institute of Technology Bombay,Economics (4 Years Bachelor of Science),EWS,Gender-Neutral,554
Indian Institute of Technology Delhi,Abu Dhabi Campus - Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,555
Indian Institute of Technology Bombay,BS in Mathematics (4 Years Bachelor of Science),SC,Gender-Neutral,556
Indian Institute of Technology Delhi,Abu Dhabi Campus - Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,556
Indian Institute of Technology Bombay,BS in Mathematics (4 Years Bachelor of Science),ST,Gender-Neutral,557
Indian Institute of Technology Kharagpur,Mathematics and Computing (4 Years Bachelor of Science),EWS,Female-only (including Supernumerary),559
Indian Institute of Technology Kharagpur,Civil Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,562
Indian Institute of Technology Bombay,Economics (4 Years Bachelor of Science),ST,Female-only (including Supernumerary),564
Indian Institute of Technology Gandhinagar,Civil Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,565
Indian Institute of Technology Roorkee,Mathematics & Computing (5 Years Bachelor of Science and Master of Science (Dual Degree)),SC,Gender-Neutral,565
Indian Institute of Technology (ISM) Dhanbad,Mathematics and Computing (4 Years Bachelor of Technology),EWS,Gender-Neutral,566
Indian Institute of Technology Guwahati,Mechanical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,568
Indian Institute of Technology Patna,B. Tech. (CSE) and M.Tech in CSE (5 Years B.Tech. + M.Tech./MS (Dual Degree)),ST,Gender-Neutral,570
Indian Institute of Technology Indore,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,571
Indian Institute of Technology Roorkee,Electrical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,572
Indian Institute of Technology Jodhpur,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),EWS,Gender-Neutral,573
Indian Institute of Technology Guwahati,Electronics and Electrical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,573
Indian Institute of Technology Delhi,Energy Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,576
Indian Institute of Technology Mandi,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),EWS,Gender-Neutral,579
Indian Institute of Technology Guwahati,Mathematics and Computing (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),580
Indian Institute of Technology Kharagpur,Aerospace Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,581
Indian Institute of Technology Bombay,Industrial Engineering and Operations Research (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),582
Indian Institute of Technology Jodhpur,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),584
Indian Institute of Technology Ropar,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,584
Indian Institute of Technology Kharagpur,Mechanical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,585
Indian Institute of Technology Delhi,Electrical Engineering (Power and Automation) (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),588
Indian Institute of Technology Delhi,Mechanical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,588
Indian Institute of Technology Delhi,Engineering and Computational Mechanics (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),590
Indian Institute of Technology Madras,Artificial Intelligence and Data Analytics (4 Years Bachelor of Technology),OBC-NCL,Female-only (including Supernumerary),590
Indian Institute of Technology Delhi,Electrical Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,591
Indian Institute of Technology Delhi,Abu Dhabi Campus - Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,591
Indian Institute of Technology Indore,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),593
Indian Institute of Technology Hyderabad,Engineering Science (4 Years Bachelor of Technology),EWS,Gender-Neutral,594
Indian Institute of Technology (BHU) Varanasi,Mathematics and Computing (4 Years Bachelor of Technology),SC,Gender-Neutral,595
Indian Institute of Technology Patna,B. Tech. (CSE) and M.Tech in CSE (5 Years B.Tech. + M.Tech./MS (Dual Degree)),EWS,Gender-Neutral,599
Indian Institute of Technology Bombay,Aerospace Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,600
Indian Institute of Technology Kharagpur,Mathematics and Computing (4 Years Bachelor of Science),ST,Female-only (including Supernumerary),602
Indian Institute of Technology Hyderabad,Civil Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),605
Indian Institute of Technology Hyderabad,Electrical Engineering (IC Design and Technology) (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),605
Indian Institute of Technology Roorkee,Electrical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),607
Indian Institute of Technology Madras,Chemical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,609
Indian Institute of Technology Palakkad,Data Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,612
Indian Institute of Technology Mandi,B.Tech in Mathematics and Computing (4 Years Bachelor of Technology),EWS,Gender-Neutral,614
Indian Institute of Technology Mandi,B.Tech in Mathematics and Computing (4 Years Bachelor of Technology),ST,Gender-Neutral,617
Indian Institute of Technology Madras,Aerospace Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,619
Indian Institute of Technology Kanpur,Aerospace Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,622
Indian Institute of Technology Kharagpur,Electrical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),624
Indian Institute of Technology Patna,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),EWS,Gender-Neutral,630
Indian Institute of Technology (ISM) Dhanbad,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),630
Indian Institute of Technology Indore,Mathematics and Computing (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),632
Indian Institute of Technology Gandhinagar,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,634
Indian Institute of Technology (BHU) Varanasi,Mathematics and Computing (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),634
Indian Institute of Technology Tirupati,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,635
Indian Institute of Technology Kanpur,Mathematics and Scientific Computing (4 Years Bachelor of Science),OBC-NCL,Gender-Neutral,635
Indian Institute of Technology Delhi,Mathematics and Computing (5 Years Bachelor and Master of Technology (Dual Degree)),SC,Female-only (including Supernumerary),636
Indian Institute of Technology Delhi,Engineering Physics (4 Years Bachelor of Technology),ST,Gender-Neutral,638
Indian Institute of Technology Madras,Chemical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),640
Indian Institute of Technology Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,640
Indian Institute of Technology Roorkee,Mechanical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,641
Indian Institute of Technology Bombay,Engineering Physics (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),642
Indian Institute of Technology Bombay,Electrical Engineering (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),643
Indian Institute of Technology Guwahati,Electronics and Electrical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),643
Indian Institute of Technology Kharagpur,Electrical Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),644
Indian Institute of Technology Roorkee,Civil Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),647
Indian Institute of Technology Kanpur,Electrical Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),648
Indian Institute of Technology Bombay,Chemical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),649
Indian Institute of Technology Madras,Physics (4 Years Bachelor of Science),ST,Gender-Neutral,652
Indian Institute of Technology Ropar,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),655
Indian Institute of Technology Delhi,Energy Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,656
Indian Institute of Technology Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),ST,Gender-Neutral,657
Indian Institute of Technology Hyderabad,Computational Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,657
Indian Institute of Technology Ropar,Mathematics and Computing (4 Years Bachelor of Technology),EWS,Gender-Neutral,658
Indian Institute of Technology Kanpur,Civil Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),659
Indian Institute of Technology Roorkee,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),659
Indian Institute of Technology Indore,Mathematics and Computing (4 Years Bachelor of Technology),SC,Gender-Neutral,660
Indian Institute of Technology Roorkee,Electronics and Communication Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),660
Indian Institute of Technology Kanpur,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-only (including Supernumerary),661
Indian Institute of Technology Hyderabad,Engineering Science (4 Years Bachelor of Technology),ST,Gender-Neutral,662
Indian Institute of Technology Bhubaneswar,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),663
Indian Institute of Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),665
Indian Institute of Technology Gandhinagar,Artificial Intelligence (4 Years Bachelor of Technology),SC,Gender-Neutral,666
Indian Institute of Technology Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,667
Indian Institute of Technology Guwahati,Civil Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,668
Indian Institute of Technology Hyderabad,Engineering Science (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),672
Indian Institute of Technology Delhi,Chemical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,673
Indian Institute of Technology Bhilai,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,676
Indian Institute of Technology Patna,Mathematics and Computing (4 Years Bachelor of Technology),EWS,Gender-Neutral,677
Indian Institute of Technology Bombay,Chemical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,679
Indian Institute of Technology Delhi,Computer Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),OBC-NCL,Female-only (including Supernumerary),679
Indian Institute of Technology Bhilai,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),ST,Gender-Neutral,680
Indian Institute of Technology Delhi,Engineering and Computational Mechanics (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),683
Indian Institute of Technology Bombay,Aerospace Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),684
Indian Institute of Technology Kanpur,Economics (4 Years Bachelor of Science),EWS,Gender-Neutral,685
Indian Institute of Technology Hyderabad,Mechanical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,686
Indian Institute of Technology (ISM) Dhanbad,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,686
Indian Institute of Technology Mandi,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,687
Indian Institute of Technology Delhi,Engineering Physics (4 Years Bachelor of Technology),EWS,Gender-Neutral,690
Indian Institute of Technology Bombay,Economics (4 Years Bachelor of Science),ST,Gender-Neutral,691
Indian Institute of Technology Delhi,Engineering and Computational Mechanics (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,691
Indian Institute of Technology Bombay,Industrial Engineering and Operations Research (4 Years Bachelor of Technology),SC,Gender-Neutral,692
Indian Institute of Technology Kanpur,Statistics and Data Science (4 Years Bachelor of Science),EWS,Female-only (including Supernumerary),693
Indian Institute of Technology Kanpur,Chemical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,696
Indian Institute of Technology Kharagpur,Mathematics and Computing (4 Years Bachelor of Science),OBC-NCL,Gender-Neutral,697
Indian Institute of Technology Patna,B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems (5 Years Bachelor and Master of Technology (Dual Degree)),ST,Gender-Neutral,699
Indian Institute of Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,699
Indian Institute of Technology Roorkee,Electronics and Communication Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,699
Indian Institute of Technology Madras,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,700
Indian Institute of Technology Madras,Mechanical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,701
Indian Institute of Technology Kanpur,Statistics and Data Science (4 Years Bachelor of Science),OBC-NCL,Gender-Neutral,704
Indian Institute of Technology Madras,Engineering Design (5 Years Bachelor and Master of Technology (Dual Degree)),ST,Female-only (including Supernumerary),705
Indian Institute of Technology Palakkad,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),707
Indian Institute of Technology Kanpur,Economics (4 Years Bachelor of Science),ST,Gender-Neutral,709
Indian Institute of Technology Jodhpur,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),710
Indian Institute of Technology Roorkee,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),OPEN,Gender-Neutral,710
Indian Institute of Technology Bombay,Industrial Engineering and Operations Research (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),711
Indian Institute of Technology Kanpur,Electrical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,713
Indian Institute of Technology Gandhinagar,Artificial Intelligence (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),716
Indian Institute of Technology Kanpur,Chemical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,718
Indian Institute of Technology Bombay,Chemistry (4 Years Bachelor of Science),SC,Female-only (including Supernumerary),719
Indian Institute of Technology Patna,B. Tech. (Mathematics & Computing) M. Tech. in (Mathematics & Computing) (5 Years B.Tech. + M.Tech./MS (Dual Degree)),EWS,Gender-Neutral,720
Indian Institute of Technology Kharagpur,Chemical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,721
Indian Institute of Technology Gandhinagar,Electrical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,722
Indian Institute of Technology Patna,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),723
Indian Institute of Technology Bombay,Civil Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,725
Indian Institute of Technology Bhubaneswar,Mathematics and Computing (4 Years Bachelor of Technology),EWS,Gender-Neutral,727
Indian Institute of Technology Delhi,Chemical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),EWS,Gender-Neutral,730
Indian Institute of Technology (ISM) Dhanbad,Mathematics and Computing (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),731
Indian Institute of Technology Bombay,Energy Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,732
Indian Institute of Technology Hyderabad,Chemical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,737
Indian Institute of Technology Bhubaneswar,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,741
Indian Institute of Technology Madras,Electrical Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,741
Indian Institute of Technology Ropar,Mathematics and Computing (4 Years Bachelor of Technology),ST,Gender-Neutral,741
Indian Institute of Technology Guwahati,Electronics and Communication Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),741
Indian Institute of Technology Madras,Computational Engineering and Mechanics (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,741
Indian Institute of Technology Gandhinagar,Integrated Circuit Design & Technology (4 Years Bachelor of Technology),ST,Gender-Neutral,742
Indian Institute of Technology Bombay,BS in Mathematics (4 Years Bachelor of Science),OBC-NCL,Gender-Neutral,742
Indian Institute of Technology Roorkee,Mathematics & Computing (5 Years Bachelor of Science and Master of Science (Dual Degree)),ST,Female-only (including Supernumerary),746
Indian Institute of Technology Delhi,Civil Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,747
Indian Institute of Technology Patna,B.Tech (Computer Science and Engineering) - MBA in Digital Business Management (IIM Bodh Gaya) (5 Years Bachelor of Technology and MBA (Dual Degree)),SC,Gender-Neutral,748
Indian Institute of Technology Gandhinagar,Mechanical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,754
Indian Institute of Technology Roorkee,Chemical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,758
Indian Institute of Technology Guwahati,Electronics and Electrical Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),758
Indian Institute of Technology Indore,Mechanical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,759
Indian Institute of Technology Madras,Chemical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,759
Indian Institute of Technology Mandi,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),760
Indian Institute of Technology Madras,Computational Engineering and Mechanics (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),761
Indian Institute of Technology (ISM) Dhanbad,Electronics and Communication Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,762
Indian Institute of Technology Jammu,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,763
Indian Institute of Technology Guwahati,Energy Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,764
Indian Institute of Technology Palakkad,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,764
Indian Institute of Technology Bombay,Mechanical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),766
Indian Institute of Technology Bhubaneswar,Electronics and Communication Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,767
Indian Institute of Technology Delhi,Materials Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,768
Indian Institute of Technology Bhubaneswar,Mathematics and Computing (4 Years Bachelor of Technology),ST,Gender-Neutral,769
Indian Institute of Technology Madras,Biological Science (4 Years Bachelor of Science),SC,Female-only (including Supernumerary),770
Indian Institute of Technology (ISM) Dhanbad,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,770
Indian Institute of Technology Patna,Electronics and Communication Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,771
Indian Institute of Technology Guwahati,Mechanical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,771
Indian Institute of Technology Delhi,Electrical Engineering (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),772
Indian Institute of Technology Kanpur,Aerospace Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,773
Indian Institute of Technology (BHU) Varanasi,Mathematics and Computing (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),773
Indian Institute of Technology Kharagpur,Instrumentation Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,774
Indian Institute of Technology Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-only (including Supernumerary),779
Indian Institute of Technology Indore,Mathematics and Computing (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),780
Indian Institute of Technology Madras,Aerospace Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),EWS,Gender-Neutral,780
Indian Institute of Technology Kharagpur,Civil Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),781
Indian Institute of Technology Guwahati,Electronics and Communication Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,782
Indian Institute of Technology Delhi,Chemical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),786
Indian Institute of Technology Kanpur,Mechanical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,787
Indian Institute of Technology Patna,Electronics and Communication Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,788
Indian Institute of Technology Jodhpur,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,791
Indian Institute of Technology Gandhinagar,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,791
Indian Institute of Technology Indore,Space Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,795
Indian Institute of Technology Patna,Mathematics and Computing (4 Years Bachelor of Technology),ST,Gender-Neutral,796
Indian Institute of Technology Delhi,Production and Industrial Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,797
Indian Institute of Technology Guwahati,Chemical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,798
Indian Institute of Technology Roorkee,Chemical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,799
Indian Institute of Technology (BHU) Varanasi,Electronics Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,799
Indian Institute of Technology Bhilai,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),803
Indian Institute of Technology Madras,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Female-only (including Supernumerary),805
Indian Institute of Technology (BHU) Varanasi,Mechanical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,805
Indian Institute of Technology Delhi,Electrical Engineering (Power and Automation) (4 Years Bachelor of Technology),OPEN,Gender-Neutral,806
Indian Institute of Technology Madras,Aerospace Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,806
Indian Institute of Technology Patna,B.Tech (Computer Science and Engineering) - MBA in Digital Business Management (IIM Bodh Gaya) (5 Years Bachelor of Technology and MBA (Dual Degree)),ST,Gender-Neutral,806
Indian Institute of Technology Roorkee,Mathematics & Computing (5 Years Bachelor of Science and Master of Science (Dual Degree)),OBC-NCL,Gender-Neutral,806
Indian Institute of Technology Ropar,Electrical Engineering (Integrated Circuit Design and Technology) (4 Years Bachelor of Technology),EWS,Gender-Neutral,808
Indian Institute of Technology Dharwad,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),808
Indian Institute of Technology Patna,B. Tech. (Mathematics & Computing) M. Tech. in (Mathematics & Computing) (5 Years B.Tech. + M.Tech./MS (Dual Degree)),ST,Gender-Neutral,811
Indian Institute of Technology Jammu,Chemical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,811
Indian Institute of Technology Delhi,Mathematics and Computing (4 Years Bachelor of Technology),OBC-NCL,Female-only (including Supernumerary),813
Indian Institute of Technology Indore,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),819
Indian Institute of Technology Bombay,Engineering Physics (4 Years Bachelor of Technology),SC,Gender-Neutral,820
Indian Institute of Technology Kharagpur,Electrical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,820
Indian Institute of Technology Bombay,Environmental Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,821
Indian Institute of Technology Roorkee,Energy Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,822
Indian Institute of Technology Hyderabad,Artificial Intelligence (4 Years Bachelor of Technology),OPEN,Gender-Neutral,823
Indian Institute of Technology Roorkee,Economics (5 Years Bachelor of Science and Master of Science (Dual Degree)),EWS,Gender-Neutral,824
Indian Institute of Technology Ropar,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,828
Indian Institute of Technology Dharwad,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,828
Indian Institute of Technology Roorkee,Electrical Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),829
Indian Institute of Technology Bhubaneswar,Electronics and Communication Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),830
Indian Institute of Technology Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),OPEN,Gender-Neutral,830
Indian Institute of Technology Delhi,Abu Dhabi Campus - Chemical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,832
Indian Institute of Technology Jodhpur,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,832
Indian Institute of Technology Ropar,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),834
Indian Institute of Technology Delhi,Production and Industrial Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,836
Indian Institute of Technology Madras,Engineering Design (5 Years Bachelor and Master of Technology (Dual Degree)),EWS,Gender-Neutral,838
Indian Institute of Technology (BHU) Varanasi,Civil Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,838
Indian Institute of Technology Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),OPEN,Gender-Neutral,839
Indian Institute of Technology Hyderabad,Computational Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),840
Indian Institute of Technology Dharwad,Electronics and Communication Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,840
Indian Institute of Technology Bombay,Energy Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,841
Indian Institute of Technology Indore,Civil Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,842
Indian Institute of Technology Madras,Electrical Engineering (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),843
Indian Institute of Technology Delhi,Chemical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),SC,Gender-Neutral,844
Indian Institute of Technology Patna,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),844
Indian Institute of Technology Bhubaneswar,Electrical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),846
Indian Institute of Technology Goa,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,847
Indian Institute of Technology Delhi,Chemical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),ST,Gender-Neutral,848
Indian Institute of Technology Patna,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,848
Indian Institute of Technology Roorkee,Mathematics & Computing (5 Years Bachelor of Science and Master of Science (Dual Degree)),EWS,Female-only (including Supernumerary),849
